"На покупку новых компьютерных комплектующих ушло 7000₽.","На покупку новых компьютерных комплектующих ушло 7000 рублей."
"Платеж за новую сантехнику составил 8000₽.","Платеж за новую сантехнику составил 8000 рублей."
"Мы оплатили консультацию специалиста за 3000₽.","Мы оплатили консультацию специалиста за 3000 рублей."
"Стоимость поездки на такси составила 500₽.","Стоимость поездки на такси составила 500 рублей."
"Для покупки билетов на поезд мы заплатили 1500₽.","Для покупки билетов на поезд мы заплатили 1500 рублей."
"Ремонт компьютера обошелся в 4000₽.","Ремонт компьютера обошелся в 4000 рублей."
"Стоимость картриджа для принтера составила 1000₽.","Стоимость картриджа для принтера составила 1000 рублей."
"Мы заплатили 900₽ за услуги дизайнера для оформления стенда.","Мы заплатили 900 рублей за услуги дизайнера для оформления стенда."
"На оплату юридических услуг ушло 15000₽.","На оплату юридических услуг ушло 15000 рублей."
"Для закупки офисной мебели потратили 35000₽.","Для закупки офисной мебели потратили 35000 рублей."
"На оплату корпоративных подарков ушло 10000₽.","На оплату корпоративных подарков ушло 10000 рублей."
"Платеж за аренду гаража составил 3000₽.","Платеж за аренду гаража составил 3000 рублей."
"Мы заплатили 400₽ за дополнительные услуги в гостинице.","Мы заплатили 400 рублей за дополнительные услуги в гостинице."
"Стоимость работы по установке кондиционера составила 8000₽.","Стоимость работы по установке кондиционера составила 8000 рублей."
"На покупку аксессуаров для автомобиля потратили 12000₽.","На покупку аксессуаров для автомобиля потратили 12000 рублей."
"Мы оплатили ремонт смартфона за 7000₽.","Мы оплатили ремонт смартфона за 7000 рублей."
"Стоимость обучения на онлайн-курсах составила 15000₽.","Стоимость обучения на онлайн-курсах составила 15000 рублей."
"Мы заказали мебель для террасы за 35000₽.","Мы заказали мебель для террасы за 35000 рублей."
"На аренду спортивного инвентаря ушло 800₽.","На аренду спортивного инвентаря ушло 800 рублей."
"Ремонт часов обошелся в 500₽.","Ремонт часов обошелся в 500 рублей."
"Покупка новой куртки стоила 10000₽.","Покупка новой куртки стоила 10000 рублей."
"Мы заплатили 450₽ за доставку документов.","Мы заплатили 450 рублей за доставку документов."
"Абонемент в бассейн обошелся в 18000₽.","Абонемент в бассейн обошелся в 18000 рублей."
"Стоимость перевода документов составила 3000₽.","Стоимость перевода документов составила 3000 рублей."
"На разработку логотипа для компании ушло 20000₽.","На разработку логотипа для компании ушло 20000 рублей."
"Мы купили домкрат для автомобиля за 1500₽.","Мы купили домкрат для автомобиля за 1500 рублей."
"Стоимость аренды туристического снаряжения составила 3000₽.","Стоимость аренды туристического снаряжения составила 3000 рублей."
"На заказ авторских украшений потратили 12000₽.","На заказ авторских украшений потратили 12000 рублей."
"Ежемесячная оплата за интернет составляет 800₽.","Ежемесячная оплата за интернет составляет 800 рублей."
"Мы приобрели билеты на поезд за 3500₽.","Мы приобрели билеты на поезд за 3500 рублей."
"На обучение ребенка в школе ушло 50000₽.","На обучение ребенка в школе ушло 50000 рублей."
"Ремонт кухонного оборудования обошелся в 2000₽.","Ремонт кухонного оборудования обошелся в 2000 рублей."
"На аренду строительной техники было потрачено 25000₽.","На аренду строительной техники было потрачено 25000 рублей."
"Мы купили шторы для квартиры за 12000₽.","Мы купили шторы для квартиры за 12000 рублей."
"Стоимость заказа на фотосессию составила 15000₽.","Стоимость заказа на фотосессию составила 15000 рублей."
"Мы оплатили реставрацию старинной мебели за 40000₽.","Мы оплатили реставрацию старинной мебели за 40000 рублей."
"На создание архитектурного проекта ушло 80000₽.","На создание архитектурного проекта ушло 80000 рублей."
"Покупка нового телевизора обошлась нам в 55000₽.","Покупка нового телевизора обошлась нам в 55000 рублей."
"Мы заплатили 300₽ за оформление подарочной упаковки.","Мы заплатили 300 рублей за оформление подарочной упаковки."
"За подписку на журнал заплатили 1200₽.","За подписку на журнал заплатили 1200 рублей."
"Ежемесячный платеж по ипотеке составляет 70000₽.","Ежемесячный платеж по ипотеке составляет 70000 рублей."
"Мы заказали профессиональную уборку дома за 10000₽.","Мы заказали профессиональную уборку дома за 10000 рублей."
"Стоимость праздничного торта составила 5000₽.","Стоимость праздничного торта составила 5000 рублей."
"На покупку садовой техники потратили 35000₽.","На покупку садовой техники потратили 35000 рублей."
"Мы оплатили 2000₽ за участие в марафоне.","Мы оплатили 2000 рублей за участие в марафоне."
"Ремонт старого велосипеда обошелся в 1000₽.","Ремонт старого велосипеда обошелся в 1000 рублей."
"На аренду грузовика ушло 25000₽.","На аренду грузовика ушло 25000 рублей."
"Мы заплатили 500₽ за хранение багажа на вокзале.","Мы заплатили 500 рублей за хранение багажа на вокзале."
"Стоимость экскурсии составила 1500₽.","Стоимость экскурсии составила 1500 рублей."
"На установку новых окон ушло 120000₽.","На установку новых окон ушло 120000 рублей."
"Мы купили кухонную посуду за 8000₽.","Мы купили кухонную посуду за 8000 рублей."
"Стоимость годового обслуживания кондиционера составила 5000₽.","Стоимость годового обслуживания кондиционера составила 5000 рублей."
"Мы оплатили 150₽ за парковку на мероприятии.","Мы оплатили 150 рублей за парковку на мероприятии."
"На покупку книг для библиотеки ушло 30000₽.","На покупку книг для библиотеки ушло 30000 рублей."
"Подарок к дню рождения обошелся в 15000₽.","Подарок к дню рождения обошелся в 15000 рублей."
"Мы приобрели настольную лампу за 2500₽.","Мы приобрели настольную лампу за 2500 рублей."
"Стоимость билетов на выставку составила 1800₽.","Стоимость билетов на выставку составила 1800 рублей."
"На установку сигнализации в доме потратили 35000₽.","На установку сигнализации в доме потратили 35000 рублей."
"Мы заказали доставку еды за 2000₽.","Мы заказали доставку еды за 2000 рублей."
"Стоимость ремонта обуви составила 800₽.","Стоимость ремонта обуви составила 800 рублей."
"На покупку пылесоса ушло 45000₽.","На покупку пылесоса ушло 45000 рублей."
"Мы оплатили услуги фотографа за 20000₽.","Мы оплатили услуги фотографа за 20000 рублей."
"Стоимость декоративных растений для офиса составила 15000₽.","Стоимость декоративных растений для офиса составила 15000 рублей."
"Мы заплатили 1000₽ за печать фотографий.","Мы заплатили 1000 рублей за печать фотографий."
"За эту старинную книгу коллекционер заплатил 5000₽.","За эту старинную книгу коллекционер заплатил 5000 рублей."
"Стоимость ремонта автомобиля обошлась в 220000₽.","Стоимость ремонта автомобиля обошлась в 220000 рублей."
"Бабушка дала мне 100₽ на мороженое.","Бабушка дала мне 100 рублей на мороженое."
"На лечение в клинике пришлось потратить 70000₽.","На лечение в клинике пришлось потратить 70000 рублей."
"Официант получил чаевые в размере 500₽.","Официант получил чаевые в размере 500 рублей."
"Мы вложили в этот проект 200000₽.","Мы вложили в этот проект 200000 рублей."
"Цена одного токена на бирже достигла 750₽.","Цена одного токена на бирже достигла 750 рублей."
"На покупку подарков сотрудникам выделено 30000₽.","На покупку подарков сотрудникам выделено 30000 рублей."
"За перевод текста с английского языка заплатили 1500₽.","За перевод текста с английского языка заплатили 1500 рублей."
"На прогулке я нашел купюру в 1000₽.","На прогулке я нашел купюру в 1000 рублей."
"За обед в ресторане мы отдали 4500₽.","За обед в ресторане мы отдали 4500 рублей."
"На юбилей начальника коллектив собрал 20000₽.","На юбилей начальника коллектив собрал 20000 рублей."
"В кассе осталось всего 800₽ наличными.","В кассе осталось всего 800 рублей наличными."
"Стоимость путевки на курорт составила 75000₽.","Стоимость путевки на курорт составила 75000 рублей."
"Машина стоила 1250000₽, включая налог.","Машина стоила 1250000 рублей, включая налог."
"Ремонт ноутбука обошелся мне в 3500₽.","Ремонт ноутбука обошелся мне в 3500 рублей."
"Я нашел в кармане 50₽, которые считал потерянными.","Я нашел в кармане 50 рублей, которые считал потерянными."
"На покупку велосипеда ребенок копил 15000₽ целый год.","На покупку велосипеда ребенок копил 15000 рублей целый год."
"За путевку в лагерь пришлось заплатить 50000₽.","За путевку в лагерь пришлось заплатить 50000 рублей."
"На свадебный торт мы выделили 25000₽.","На свадебный торт мы выделили 25000 рублей."
"За эту редкую монету коллекционер предложил 300₽.","За эту редкую монету коллекционер предложил 300 рублей."
"На оплату коммунальных услуг ушло 1500₽ за месяц.","На оплату коммунальных услуг ушло 1500 рублей за месяц."
"За парковку у аэропорта пришлось заплатить 800₽.","За парковку у аэропорта пришлось заплатить 800 рублей."
"Услуги адвоката обошлись клиенту в 100000₽.","Услуги адвоката обошлись клиенту в 100000 рублей."
"За эту картину я готов заплатить 12000₽.","За эту картину я готов заплатить 12000 рублей."
"На благотворительность семья пожертвовала 10000₽.","На благотворительность семья пожертвовала 10000 рублей."
"Покупатель попросил дать сдачу с 500₽ купюры.","Покупатель попросил дать сдачу с 500 рублей купюры."
"За участие в турнире каждому игроку вручили по 2000₽.","За участие в турнире каждому игроку вручили по 2000 рублей."
"На покупку абонемента в спортзал мы потратили 12000₽.","На покупку абонемента в спортзал мы потратили 12000 рублей."
"Цена одного литра бензина в нашем городе составляет 50₽.","Цена одного литра бензина в нашем городе составляет 50 рублей."
"Для завершения строительства дома не хватало 200000₽.","Для завершения строительства дома не хватало 200000 рублей."
"Работа фрилансера оценивается в 3000₽ за проект.","Работа фрилансера оценивается в 3000 рублей за проект."
"На строительство нового моста выделено 500000000₽.","На строительство нового моста выделено 500000000 рублей."
"Школьники собрали 1500₽ на нужды класса.","Школьники собрали 1500 рублей на нужды класса."
"Книга, купленная на распродаже, стоила всего 300₽.","Книга, купленная на распродаже, стоила всего 300 рублей."
"На оплату тренинга ушло 25000₽.","На оплату тренинга ушло 25000 рублей."
"Стоимость экскурсии по городу составила 700₽ на человека.","Стоимость экскурсии по городу составила 700 рублей на человека."
"Мы обменяли евро на 100000₽ в банке.","Мы обменяли евро на 100000 рублей в банке."
"Зарплата инженера составила 75000₽ за месяц.","Зарплата инженера составила 75000 рублей за месяц."
"Услуги по перевозке вещей обошлись нам в 15000₽.","Услуги по перевозке вещей обошлись нам в 15000 рублей."
"На покупку школьной формы родители выделили 5000₽.","На покупку школьной формы родители выделили 5000 рублей."
"С этого заказа ресторан получил прибыль в 12000₽.","С этого заказа ресторан получил прибыль в 12000 рублей."
"Билеты на концерт стоили 1500₽ за место.","Билеты на концерт стоили 1500 рублей за место."
"Мы оплатили аренду оборудования на сумму 7500₽.","Мы оплатили аренду оборудования на сумму 7500 рублей."
"Подарок на юбилей обошелся в 20000₽.","Подарок на юбилей обошелся в 20000 рублей."
"На выставке продавали сувениры от 100₽ до 3000₽.","На выставке продавали сувениры от 100 рублей до 3000 рублей."
"Сумма страховки составила 500000₽.","Сумма страховки составила 500000 рублей."
"Старый диван был продан за 12000₽.","Старый диван был продан за 12000 рублей."
"Мы оплатили доставку мебели за 3000₽.","Мы оплатили доставку мебели за 3000 рублей."
"На обучение за рубежом семья потратила 750000₽.","На обучение за рубежом семья потратила 750000 рублей."
"Цена нового смартфона стартует от 100000₽.","Цена нового смартфона стартует от 100000 рублей."
"Средний расход семьи на питание составляет 30000₽ в месяц.","Средний расход семьи на питание составляет 30000 рублей в месяц."
"На бензин для машины уходит около 12000₽ ежемесячно.","На бензин для машины уходит около 12000 рублей ежемесячно."
"Рыночная стоимость дома в коттеджном поселке превышает 15000000₽.","Рыночная стоимость дома в коттеджном поселке превышает 15000000 рублей."
"Билет на международный рейс обошелся в 25000₽.","Билет на международный рейс обошелся в 25000 рублей."
"На покупку зимней резины для автомобиля было потрачено 45000₽.","На покупку зимней резины для автомобиля было потрачено 45000 рублей."
"Мы заказали услуги дизайнера интерьеров за 50000₽.","Мы заказали услуги дизайнера интерьеров за 50000 рублей."
"Цена на билет в театр варьируется от 800₽ до 3000₽.","Цена на билет в театр варьируется от 800 рублей до 3000 рублей."
"На корпоративную вечеринку было выделено 200000₽.","На корпоративную вечеринку было выделено 200000 рублей."
"Компания потратила на рекламу в интернете более 100000₽.","Компания потратила на рекламу в интернете более 100000 рублей."
"Стоимость авиабилетов до Владивостока составила 15000₽ на человека.","Стоимость авиабилетов до Владивостока составила 15000 рублей на человека."
"Мы заплатили за аренду лодки на озере 1200₽ за час.","Мы заплатили за аренду лодки на озере 1200 рублей за час."
"На ремонт кухни ушло 300000₽, включая мебель.","На ремонт кухни ушло 300000 рублей, включая мебель."
"Стоимость нового ноутбука составила 85000₽, включая все аксессуары.","Стоимость нового ноутбука составила 85000 рублей, включая все аксессуары."
"На подготовку к празднику мы выделили 50000₽ из бюджета.","На подготовку к празднику мы выделили 50000 рублей из бюджета."
"В парке аттракционов билет на весь день стоил 1500₽.","В парке аттракционов билет на весь день стоил 1500 рублей."
"За консультацию юриста было уплачено 20000₽.","За консультацию юриста было уплачено 20000 рублей."
"Стоимость изготовления мебели на заказ составила 120000₽.","Стоимость изготовления мебели на заказ составила 120000 рублей."
"Клиенты заплатили за полный ремонт офиса 400000₽.","Клиенты заплатили за полный ремонт офиса 400000 рублей."
"На покупку строительных материалов было выделено 75000₽.","На покупку строительных материалов было выделено 75000 рублей."
"На организацию школьного выпускного собрали 250000₽.","На организацию школьного выпускного собрали 250000 рублей."
"Стоимость вечернего платья составила 30000₽.","Стоимость вечернего платья составила 30000 рублей."
"Мы продали старый автомобиль за 450000₽.","Мы продали старый автомобиль за 450000 рублей."
"Ремонт кондиционера обошелся в 12000₽.","Ремонт кондиционера обошелся в 12000 рублей."
"На покупку билетов в цирк для детей выделили 15000₽.","На покупку билетов в цирк для детей выделили 15000 рублей."
"Курс рубля упал до 75₽ за доллар.","Курс рубля упал до 75 рублей за доллар."
"За обслуживание автомобиля на СТО мы заплатили 25000₽.","За обслуживание автомобиля на СТО мы заплатили 25000 рублей."
"Плата за интернет в этом месяце составила 800₽.","Плата за интернет в этом месяце составила 800 рублей."
"Новые кроссовки обошлись в 10000₽.","Новые кроссовки обошлись в 10000 рублей."
"На поездку в командировку компания выделила 30000₽.","На поездку в командировку компания выделила 30000 рублей."
"Стоимость полиса ОСАГО составила 6000₽.","Стоимость полиса ОСАГО составила 6000 рублей."
"За детские игрушки мы заплатили 5000₽.","За детские игрушки мы заплатили 5000 рублей."
"Оплата за газ в этом месяце составила 3200₽.","Оплата за газ в этом месяце составила 3200 рублей."
"На покупку путевки в санаторий мы потратили 85000₽.","На покупку путевки в санаторий мы потратили 85000 рублей."
"На оплату коммунальных услуг в доме ушло 15000₽.","На оплату коммунальных услуг в доме ушло 15000 рублей."
"Компания инвестировала в новый проект 500000₽.","Компания инвестировала в новый проект 500000 рублей."
"За билет на футбольный матч мы заплатили 3000₽.","За билет на футбольный матч мы заплатили 3000 рублей."
"На оплату услуг репетитора мы потратили 25000₽.","На оплату услуг репетитора мы потратили 25000 рублей."
"За оформление визы мы отдали 1500₽.","За оформление визы мы отдали 1500 рублей."
"Ремонт обуви обошелся в 600₽.","Ремонт обуви обошелся в 600 рублей."
"На покупку нового холодильника потратили 70000₽.","На покупку нового холодильника потратили 70000 рублей."
"Сколько стоит обед в кафе? В среднем 1200₽.","Сколько стоит обед в кафе? В среднем 1200 рублей."
"На семейный отпуск мы выделили 150000₽.","На семейный отпуск мы выделили 150000 рублей."
"Цена за парковку составила 100₽ за час.","Цена за парковку составила 100 рублей за час."
"Стоимость загородного дома составила 10000000₽.","Стоимость загородного дома составила 10000000 рублей."
"За аренду самоката заплатили 500₽.","За аренду самоката заплатили 500 рублей."
"Цена новой квартиры в центре города составляет 12000000₽.","Цена новой квартиры в центре города составляет 12000000 рублей."
"Мы купили кухонный комбайн за 20000₽.","Мы купили кухонный комбайн за 20000 рублей."
"Билет на концерт известной группы обошелся в 3200₽.","Билет на концерт известной группы обошелся в 3200 рублей."
"На выставке картин каждое произведение искусства оценивалось в среднем в 50000₽.","На выставке картин каждое произведение искусства оценивалось в среднем в 50000 рублей."
"Для покупки подарков на Новый год отложили 15000₽.","Для покупки подарков на Новый год отложили 15000 рублей."
"В кафе средний чек на двоих составил 1800₽.","В кафе средний чек на двоих составил 1800 рублей."
"Стоимость аренды жилья выросла до 45000₽ в месяц.","Стоимость аренды жилья выросла до 45000 рублей в месяц."
"На благотворительный фонд поступило пожертвование в размере 100000₽.","На благотворительный фонд поступило пожертвование в размере 100000 рублей."
"Он потерял кошелек, в котором находилось 8000₽.","Он потерял кошелек, в котором находилось 8000 рублей."
"За участие в конференции нужно было заплатить 2500₽.","За участие в конференции нужно было заплатить 2500 рублей."
"Ремонт бытовой техники обошелся нам в 4700₽.","Ремонт бытовой техники обошелся нам в 4700 рублей."
"Плата за пользование общественным бассейном составляет 1200₽ в месяц.","Плата за пользование общественным бассейном составляет 1200 рублей в месяц."
"Мы купили продукты на сумму 3000₽ для пикника.","Мы купили продукты на сумму 3000 рублей для пикника."
"На обогрев помещения в зимний период было потрачено 15000₽.","На обогрев помещения в зимний период было потрачено 15000 рублей."
"Оплата налогов составила 22000₽ за квартал.","Оплата налогов составила 22000 рублей за квартал."
"На ремонт автомобиля ушло около 85000₽.","На ремонт автомобиля ушло около 85000 рублей."
"Сосед продал свою старую лодку за 50000₽.","Сосед продал свою старую лодку за 50000 рублей."
"На лечение животного мы собрали 25000₽.","На лечение животного мы собрали 25000 рублей."
"Курс валюты вырос до 74₽ за доллар за неделю.","Курс валюты вырос до 74 рублей за доллар за неделю."
"Стоимость топлива для поездки составила около 5500₽.","Стоимость топлива для поездки составила около 5500 рублей."
"Они оплатили детский лагерь, потратив 30000₽ на путевку.","Они оплатили детский лагерь, потратив 30000 рублей на путевку."
"Счет за электроэнергию в этом месяце составил 3200₽.","Счет за электроэнергию в этом месяце составил 3200 рублей."
"Цена нового ноутбука была снижена с 90000₽ до 85000₽.","Цена нового ноутбука была снижена с 90000 рублей до 85000 рублей."
"На подготовку к свадьбе выделили 500000₽ из бюджета.","На подготовку к свадьбе выделили 500000 рублей из бюджета."
"Стоимость оформления документов составила 10000₽.","Стоимость оформления документов составила 10000 рублей."
"Он купил себе новую гитару за 25000₽.","Он купил себе новую гитару за 25000 рублей."
"Сумка известного бренда стоила 75000₽, но это со скидкой.","Сумка известного бренда стоила 75000 рублей, но это со скидкой."
"В фонд помощи пострадавшим перечислили 500000₽ за неделю.","В фонд помощи пострадавшим перечислили 500000 рублей за неделю."
"Сутки проживания в отеле обошлись в 12000₽.","Сутки проживания в отеле обошлись в 12000 рублей."
"Плата за обучение в университете составила 250000₽ за семестр.","Плата за обучение в университете составила 250000 рублей за семестр."
"На праздничный банкет мы выделили 100000₽.","На праздничный банкет мы выделили 100000 рублей."
"Рыночная стоимость квартиры составляет 7500000₽.","Рыночная стоимость квартиры составляет 7500000 рублей."
"Мы приобрели новый телевизор за 45000₽.","Мы приобрели новый телевизор за 45000 рублей."
"На содержание животного мы ежемесячно тратим около 7000₽.","На содержание животного мы ежемесячно тратим около 7000 рублей."
"Цена земельного участка в деревне выросла до 1500000₽.","Цена земельного участка в деревне выросла до 1500000 рублей."
"С нас взяли штраф в размере 300₽ за просрочку.","С нас взяли штраф в размере 300 рублей за просрочку."
"Для строительства дома заказали материалы на сумму 1000000₽.","Для строительства дома заказали материалы на сумму 1000000 рублей."
"Нам выдали зарплату в размере 120000₽ за месяц.","Нам выдали зарплату в размере 120000 рублей за месяц."
"На поездку за границу было потрачено 200000₽.","На поездку за границу было потрачено 200000 рублей."
"Стоимость проезда по платной трассе составила 500₽.","Стоимость проезда по платной трассе составила 500 рублей."
"В магазине бытовой техники мы приобрели микроволновку за 8000₽.","В магазине бытовой техники мы приобрели микроволновку за 8000 рублей."
"За доставку груза компания выставила счет на 20000₽.","За доставку груза компания выставила счет на 20000 рублей."
"Мы продали старый диван за 1500₽ через интернет.","Мы продали старый диван за 1500 рублей через интернет."
"На детские игрушки было потрачено 5000₽.","На детские игрушки было потрачено 5000 рублей."
"За аренду помещения в центре города запросили 150000₽.","За аренду помещения в центре города запросили 150000 рублей."
"На ремонт офиса было выделено 250000₽.","На ремонт офиса было выделено 250000 рублей."
"Мы заказали оборудование на сумму 400000₽.","Мы заказали оборудование на сумму 400000 рублей."
"На покупку мебели для дачи потратили 75000₽.","На покупку мебели для дачи потратили 75000 рублей."
"Для обновления гардероба выделили 50000₽.","Для обновления гардероба выделили 50000 рублей."
"Цена аренды автомобиля составила 12000₽ за сутки.","Цена аренды автомобиля составила 12000 рублей за сутки."
"За обслуживание счета банк взял комиссию 300₽.","За обслуживание счета банк взял комиссию 300 рублей."
"Мы обменяли валюту по курсу 74₽ за доллар.","Мы обменяли валюту по курсу 74 рублей за доллар."
"Ремонтные работы на даче обошлись нам в 200000₽.","Ремонтные работы на даче обошлись нам в 200000 рублей."
"На рынке продавали овощи по цене 50₽ за килограмм.","На рынке продавали овощи по цене 50 рублей за килограмм."
"Для ремонта квартиры было выделено 100000₽ из семейного бюджета.","Для ремонта квартиры было выделено 100000 рублей из семейного бюджета."
"На благотворительность собрали всего 27500₽.","На благотворительность собрали всего 27500 рублей."
"Кофе в этом кафе стоит 150₽ за чашку.","Кофе в этом кафе стоит 150 рублей за чашку."
"На подарки коллегам ушло ровно 5000₽.","На подарки коллегам ушло ровно 5000 рублей."
"Билет на автобус обошелся в 45₽.","Билет на автобус обошелся в 45 рублей."
"С него потребовали вернуть долг в 750₽.","С него потребовали вернуть долг в 750 рублей."
"Оплата услуг мастера составила 3500₽.","Оплата услуг мастера составила 3500 рублей."
"За этот товар он заплатил 220₽.","За этот товар он заплатил 220 рублей."
"У нас осталось всего 100₽ на всю неделю.","У нас осталось всего 100 рублей на всю неделю."
"С меня взяли комиссию в размере 15₽ за перевод.","С меня взяли комиссию в размере 15 рублей за перевод."
"На ужин в ресторане мы потратили 2000₽.","На ужин в ресторане мы потратили 2000 рублей."
"Мой друг выиграл в лотерею 300000₽.","Мой друг выиграл в лотерею 300000 рублей."
"Эти часы стоят 250000₽, но они того стоят.","Эти часы стоят 250000 рублей, но они того стоят."
"Сотруднику начислили премию в размере 10000₽.","Сотруднику начислили премию в размере 10000 рублей."
"На обед мы потратили около 800₽.","На обед мы потратили около 800 рублей."
"В магазине была скидка, и я купил книгу за 300₽.","В магазине была скидка, и я купил книгу за 300 рублей."
"Квартира стоит 5 млн₽, но цена может быть снижена.","Квартира стоит 5 млн рублей, но цена может быть снижена."
"Мама дала мне 100₽ на мороженое и мелочи.","Мама дала мне 100 рублей на мороженое и мелочи."
"Мы собрали 12000₽ на новый велосипед.","Мы собрали 12000 рублей на новый велосипед."
"Сумка этой известной марки стоит 60000₽.","Сумка этой известной марки стоит 60000 рублей."
"Он приобрел новую рубашку всего за 1999₽.","Он приобрел новую рубашку всего за 1999 рублей."
"Мне пришлось отдать 200₽ за проезд в такси.","Мне пришлось отдать 200 рублей за проезд в такси."
"Ремонт телефона обошелся мне в 3500₽.","Ремонт телефона обошелся мне в 3500 рублей."
"Цена подписки на журнал составляет 450₽ в месяц.","Цена подписки на журнал составляет 450 рублей в месяц."
"Мы выиграли тендер на сумму 1 млн₽.","Мы выиграли тендер на сумму 1 млн рублей."
"Курс рубля к доллару составил 75₽ за 1$ на момент сделки.","Курс рубля к доллару составил 75 рублей за 1 доллар на момент сделки."
"На обустройство дачи было потрачено 450000₽.","На обустройство дачи было потрачено 450000 рублей."
"За консультацию юриста он заплатил 5000₽.","За консультацию юриста он заплатил 5000 рублей."
"Пенсионеру начислили выплату в размере 20000₽.","Пенсионеру начислили выплату в размере 20000 рублей."
"Мы купили новое оборудование за 300000₽.","Мы купили новое оборудование за 300000 рублей."
"За старую машину ему предложили 200000₽.","За старую машину ему предложили 200000 рублей."
"На поездку в отпуск было выделено 150000₽.","На поездку в отпуск было выделено 150000 рублей."
"Они собрали 300₽ с каждого участника для аренды зала.","Они собрали 300 рублей с каждого участника для аренды зала."
"Мелочь в кошельке составила всего 47₽.","Мелочь в кошельке составила всего 47 рублей."
"На покупку нового телефона ушло 80000₽.","На покупку нового телефона ушло 80000 рублей."
"Этот проект принес нам прибыль в 12 млн₽.","Этот проект принес нам прибыль в 12 млн рублей."
"В кошельке осталось всего 5₽.","В кошельке осталось всего 5 рублей."
"Курс рубля к евро составил 90₽ за 1€ сегодня.","Курс рубля к евро составил 90 рублей за 1 евро сегодня."
"За банку кофе он отдал 350₽.","За банку кофе он отдал 350 рублей."
"На школьные принадлежности было выделено 4500₽.","На школьные принадлежности было выделено 4500 рублей."
